Marca,Modelo,Tema,Porcentaje_Normalizado
Xiaomi,Xiaomi Poco X6 Pro,Cámara,8.12
Xiaomi,Xiaomi Poco X6 Pro,Batería,18.78
Xiaomi,Xiaomi Poco X6 Pro,Precio,28.93
Xiaomi,Xiaomi Poco X6 Pro,Rendimiento,36.04
Xiaomi,Xiaomi Poco X6 Pro,Pantalla,8.12
Xiaomi,Xiaomi Redmi 13C,Cámara,4.35
Xiaomi,Xiaomi Redmi 13C,Batería,8.7
Xiaomi,Xiaomi Redmi 13C,Precio,60.87
Xiaomi,Xiaomi Redmi 13C,Rendimiento,18.48
Xiaomi,Xiaomi Redmi 13C,Pantalla,7.61
Xiaomi,Xiaomi Redmi Note 13,Cámara,10.61
Xiaomi,Xiaomi Redmi Note 13,Batería,16.16
Xiaomi,Xiaomi Redmi Note 13,Precio,42.93
Xiaomi,Xiaomi Redmi Note 13,Rendimiento,20.2
Xiaomi,Xiaomi Redmi Note 13,Pantalla,10.1
Xiaomi,Xiaomi Redmi Note 13 Pro,Cámara,8.93
Xiaomi,Xiaomi Redmi Note 13 Pro,Batería,23.21
Xiaomi,Xiaomi Redmi Note 13 Pro,Precio,36.31
Xiaomi,Xiaomi Redmi Note 13 Pro,Rendimiento,21.43
Xiaomi,Xiaomi Redmi Note 13 Pro,Pantalla,10.12
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Cámara,9.87
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Batería,26.97
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Precio,28.29
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Rendimiento,21.05
Xiaomi,Xiaomi Redmi Note 13 Pro Plus,Pantalla,13.82
Samsung,Samsung Galaxy A15,Cámara,7.92
Samsung,Samsung Galaxy A15,Batería,16.67
Samsung,Samsung Galaxy A15,Precio,32.08
Samsung,Samsung Galaxy A15,Rendimiento,25.0
Samsung,Samsung Galaxy A15,Pantalla,18.33
Samsung,Samsung Galaxy A25,Cámara,10.71
Samsung,Samsung Galaxy A25,Batería,11.61
Samsung,Samsung Galaxy A25,Precio,33.04
Samsung,Samsung Galaxy A25,Rendimiento,31.25
Samsung,Samsung Galaxy A25,Pantalla,13.39
Samsung,Samsung Galaxy A35,Cámara,14.02
Samsung,Samsung Galaxy A35,Batería,20.56
Samsung,Samsung Galaxy A35,Precio,30.84
Samsung,Samsung Galaxy A35,Rendimiento,25.23
Samsung,Samsung Galaxy A35,Pantalla,9.35
Samsung,Samsung Galaxy A55,Cámara,18.13
Samsung,Samsung Galaxy A55,Batería,13.54
Samsung,Samsung Galaxy A55,Precio,19.65
Samsung,Samsung Galaxy A55,Rendimiento,31.67
Samsung,Samsung Galaxy A55,Pantalla,17.01
Samsung,Samsung S24 Ultra,Cámara,25.31
Samsung,Samsung S24 Ultra,Batería,9.37
Samsung,Samsung S24 Ultra,Precio,6.57
Samsung,Samsung S24 Ultra,Rendimiento,33.29
Samsung,Samsung S24 Ultra,Pantalla,25.45
Apple,IPhone 11,Cámara,15.33
Apple,IPhone 11,Batería,16.86
Apple,IPhone 11,Precio,36.4
Apple,IPhone 11,Rendimiento,22.22
Apple,IPhone 11,Pantalla,9.2
Apple,IPhone 13,Cámara,15.79
Apple,IPhone 13,Batería,10.53
Apple,IPhone 13,Precio,33.33
Apple,IPhone 13,Rendimiento,21.05
Apple,IPhone 13,Pantalla,19.3
Apple,IPhone 14,Cámara,16.05
Apple,IPhone 14,Batería,13.58
Apple,IPhone 14,Precio,29.63
Apple,IPhone 14,Rendimiento,17.28
Apple,IPhone 14,Pantalla,23.46
Apple,IPhone 15,Cámara,19.51
Apple,IPhone 15,Batería,12.2
Apple,IPhone 15,Precio,46.34
Apple,IPhone 15,Rendimiento,12.2
Apple,IPhone 15,Pantalla,9.76
